hr_start nox_area  nox_point
 0       0.578       0.845      0-1 local time
 1       0.491       0.806      1-2 local time
 2       0.428       0.786
 3       0.329       0.779
 4       0.384       0.793
 5       0.485       0.832
 6       0.763       0.895
 7       1.103       0.977
 8       1.084       1.031
 9       1.047       1.071
10       1.096       1.105
11       1.196       1.118
12       1.298       1.131
13       1.357       1.136
14       1.447       1.143
15       1.565       1.141
16       1.636       1.133
17       1.662       1.118
18       1.401       1.097
19       1.168       1.091
20       1.031       1.079
21       0.926       1.036
22       0.816       0.966
23       0.709       0.892      23-24 local time
week_day nox_area  nox_point
1        1.060       1.000      Monday
2        1.060       1.000      Tuesday
3        1.060       1.000      Wednesday
4        1.060       1.000      Thursday
5        1.060       1.000      Friday
6        0.900       1.000      Saturday
7        0.800       1.000      Sunday
