hr_start co_area  co_point
 0       0.535       0.932      0-1 local time
 1       0.405       0.931      1-2 local time 
 2       0.317       0.927
 3       0.265       0.926
 4       0.259       0.928
 5       0.367       0.936
 6       0.668       0.952
 7       1.039       0.975
 8       1.015       1.046
 9       0.965       1.055
10       1.016       1.061
11       1.133       1.064
12       1.269       1.067
13       1.368       1.068
14       1.516       1.069
15       1.681       1.068
16       1.777       1.024
17       1.827       1.017
18       1.538       1.008
19       1.282       1.007
20       1.136       1.004
21       1.020       0.996
22       0.879       0.981
23       0.723       0.958      23-24 local time
week_day co_area  co_point
1        1.060       1.000      Monday
2        1.060       1.000      Tuesday
3        1.060       1.000      Wednesday
4        1.060       1.000      Thursday
5        1.060       1.000      Friday
6        0.900       1.000      Saturday
7        0.800       1.000      Sunday
